Nama Kost,Tipe,Harga,Harga_Int,Lokasi,Lokasi Clean,Deskripsi,Spesifikasi Kamar,Fasilitas Kamar,Fasilitas Kamar Mandi,Fasilitas Umum,Fasilitas Parkir,Fasilitas Lain,Link,lat,lon
Kost Pahlawan Tipe A Cibeunying Kaler Bandung,Putra,Rp1.100.000,1100000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart Bojong Koneng (998 m), Masjid Pusdai (1.1 km), Institut Teknologi Nasional Bandung (278 m), Sinar Abadi Balubur Town Square (2.8 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Cermin, Bantal","K. Mandi Dalam, Kloset Duduk, Shower","WiFi, R. Cuci, Penjaga Kos, Mushola, Jemuran, Pengurus Kos",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putra-eksklusif-kost-pahlawan-tipe-a-cibeunying-kaler-bandung-2?redirection_source=landing%20area,-6.886808449095409,107.62748043912134
Kost Nin Ae Tife F Mandalajati Bandung,Campur,Rp1.100.000,1100000,Kecamatan Mandalajati,Mandalajati,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Permata (2.8 km), PT. Indomarco Prismatama (661 m), Masjid Al Barokah (1.7 km), Universitas Widyatama (1.4 km), RS Umum Hermina Arcamanik (1.2 km).","3 x 4 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Cermin, Bantal, Kursi, Cleaning service","Kloset Duduk, K. Mandi Luar, Wastafel, Shower, Air panas","WiFi, Penjaga Kos, Jemuran, Pengurus Kos, Jual Makanan, CCTV, Kartu Akses, K. Mandi Luar","Parkir Mobil, Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-nin-ae-tife-f-mandalajati-bandung?redirection_source=landing%20area,-6.895086163434904,107.66990194559074
Kost Rumah Ileya Tipe Family Cibeunying Kaler Bandung,Campur,Rp1.200.000,1200000,Kecamatan Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Cintaasih (2.3 km), Alfamart (1.1 km), Christian Church Pasundan Awiligar (2.1 km), Bank BJB Weekend Banking (1.4 km), Institut Teknologi Nasional Bandung (403 m), RS Ibu dan Anak Al Islam (1.3 km).","2.5 x 2.5 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage","K. Mandi Dalam, Kloset Duduk, Kloset Jongkok, Ember mandi, Shower","WiFi, Dapur, Rice Cooker, Pengurus Kos, CCTV, Balcon","Parkir Motor, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-rumah-ileya-tipe-family-cibeunying-kaler-bandung?redirection_source=landing%20area,-6.884337611207907,107.63046424597702
Kost Huni Hijau Cibeunying Kidul Bandung,Putri,Rp1.250.000,1250000,Kecamatan Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Abadi (3.2 km), Alfamart (1.8 km), Masjid Al Barokah (1.6 km), Bank BJB Weekend Banking (1.8 km), Institut Teknologi Nasional Bandung (652 m), RS Ibu dan Anak Al Islam (733 m).","3 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Jendela, Cermin, Bantal, Kursi","Kloset Duduk, K. Mandi Luar, Wastafel, Shower","WiFi, Kulkas, R. Jemur, Dispenser, Dapur, Jemuran, Pengurus Kos, CCTV, Balcon","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-huni-hijau-cibeunying-kidul-bandung?redirection_source=landing%20area,-6.8973629886068375,107.64856489321357
Kost 19C Tipe E Kiaracondong Bandung,Campur,Rp4.250.000,4250000,Kecamatan Kiaracondong,Kiaracondong,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Berkah Bahari (2.4 km), Alfamart West Cikutra (3.0 km), Masjid Al Barokah (613 m), Bank BJB Weekend Banking (2.5 km), Universitas Widyatama (1.9 km), RS Ibu dan Anak Grha Bunda (278 m).","5 x 4 meter, Termasuk listrik","AC, Kasur, Dispenser, Meja, TV, Lemari / Storage, Kulkas, Ventilasi, Meja makan, Jendela","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Penjaga Kos, R. Jemur, Jemuran, Pengurus Kos, CCTV, Taman","Parkir Mobil, Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-19c-tipe-e-kiaracondong-bandung?redirection_source=landing%20area,-6.9232805908840405,107.64792766518204
Kost Menimurah Tipe Standart Cibeunying Kaler Bandung,Putri,Rp500.000,500000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Cintaasih (2.3 km), Alfamart Bojong Koneng (1.3 km), Christian Church Pasundan Awiligar (2.1 km), Bank BJB Weekend Banking (1.4 km), Institut Teknologi Nasional Bandung (408 m), RS Ibu dan Anak Al Islam (1.3 km).","2 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Kursi","Kloset Jongkok, K. Mandi Luar, Ember mandi, Bak mandi","WiFi, R. Cuci, R. Tamu, R. Jemur, R. Makan, Dapur, Jemuran, Pengurus Kos, Balcon, R. Keluarga",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-menimurah-tipe-standart-cibeunying-kaler-bandung?redirection_source=landing%20area,-6.887442953562711,107.62917548022742
Kost Wahjoewono Tipe A Antapani Bandung,Putri,Rp800.000,800000,Antapani,Antapani,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart Cimuncang 2 (925 m), Masjid Al Barokah (530 m), Akademi Pariwisata BSI Bandung (642 m).","3.2 x 3.6 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Meja makan, Jendela, Bantal, Wastafel, Kursi","Kloset Jongkok, K. Mandi Luar, Wastafel, Ember mandi, Shower","WiFi, R. Cuci, R. Tamu, Penjaga Kos, R. Jemur, R. Makan, Dapur, Jemuran, Pengurus Kos, K. Mandi Luar",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-wahjoewono-tipe-a-antapani-bandung?redirection_source=landing%20area,-6.919708414584493,107.66119706659298
Kost Palm Bridge Tipe B Cimenyan Bandung,Putra,Rp875.000,875000,Cimenyan,Cimenyan,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart Bojong Koneng (1.3 km), Christian Church Pasundan Awiligar (875 m), Universitas Padjadjaran Kampus Dipatiukur (1.9 km), Sinar Abadi Balubur Town Square (2.9 km).","3 x 3.5 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage","Kloset Duduk, K. Mandi Luar, Ember mandi","WiFi, Mesin Cuci, R. Tamu, R. Jemur, R. Santai, Balcon","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-bandung-kost-putra-eksklusif-kost-palm-bridge-cimenyan-bandung-1?redirection_source=landing%20area,-6.881590452500603,107.66192150136021
Kost Pondok Salsabila Antapani Bandung,Putri,Rp650.000,650000,Antapani,Antapani,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Cintaasih (2.7 km), PT. Indomarco Prismatama (1.7 km), Masjid Al Barokah (890 m), Bank Mandiri Bandung MTC (2.7 km), Universitas Widyatama (2.5 km), RS Ibu dan Anak Grha Bunda (1.2 km).","3 x 4 meter, Termasuk listrik","Kasur, Lemari / Storage","K. Mandi Dalam, Kloset Duduk, Ember mandi","R. Cuci, Laundry, R. Jemur, Dapur","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-pondok-salsabila-antapani-bandung-2?redirection_source=landing%20area,-6.916502743803215,107.66050347162418
Kost Rereng Barong Cibeunying Kaler Bandung,Putri,Rp900.000,900000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Rumah Makan Pondok (959 m), Alfamart Bojong Koneng (1.5 km), Masjid MUI Kota Bandung (588 m), Institut Teknologi Nasional Bandung (801 m), Sinar Abadi Balubur Town Square (2.2 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Kursi","Kloset Duduk, K. Mandi Luar, Shower","WiFi, Kulkas, R. Tamu, R. Jemur, R. Makan, Dispenser, Dapur, R. Keluarga, TV, K. Mandi Luar",Parkir Motor,,https://mamikos.com/room/kost-bandung-kost-putri-murah-kost-rereng-barong-cibeunying-kaler-bandung-1?redirection_source=landing%20area,-6.886251017186117,107.62709361977993
