Nama Kost,Tipe,Harga,Harga_Int,Lokasi,Lokasi Clean,Deskripsi,Spesifikasi Kamar,Fasilitas Kamar,Fasilitas Kamar Mandi,Fasilitas Umum,Fasilitas Parkir,Fasilitas Lain,Link,lat,lon
Kost Faiz Tipe B Sumur Bandung Bandung,Putra,Rp750.000,750000,Kecamatan Sumur Bandung,Sumur Bandung,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Rumah Makan Mirasa (616 m), Circle K (3.2 km), Masjid Al Asy'ari Unisba (570 m), Bank Permata (418 m), Universitas Islam Bandung (605 m), RS Khusus Mata Cicendo (303 m).","3 x 3 meter, Termasuk listrik","Kasur, Lemari / Storage","Kloset Duduk, Kloset Jongkok, K. Mandi Luar, Ember mandi, Shower, Air panas","WiFi, K. Mandi Luar","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-faiz-tipe-b-sumur-bandung-bandung-2?redirection_source=landing%20area,-6.914872854984833,107.61708128912579
Kost Nomad Coliving Asia Afrika Loft Lengkong Bandung,Campur,Rp2.699.998,2699998,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (527 m), Alfamart (3.1 km), Church In Bandung (501 m), Bank BJB - Cabang Utama Bandung (1.1 km), Universitas Islam Bandung (2.7 km), RS Umum Bungsu (1.0 km).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Jendela, Cermin, Bantal, Wastafel, Kursi","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, Penjaga Kos, R. Makan, Dapur, Pengurus Kos, CCTV, Rooftop, TV",,,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-nomad-coliving-asia-afrika-loft-lengkong-bandung?redirection_source=landing%20area,-6.934855547153783,107.62816777439272
Kost 67 Paledang Lengkong Bandung,Putri,Rp1.300.000,1300000,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart A Yani 419 (3.1 km), Church of Isa Almasih (504 m), Bandung Electronic Center (2.0 km).","3 x 4 meter, Termasuk listrik",Kipas Angin,"K. Mandi Dalam, Kloset Jongkok",WiFi,,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-67-paledang-lengkong-bandung-1?redirection_source=landing%20area,-6.935786342613068,107.62512851433412
Kost Sazara Cibeunying Kidul Bandung,Putri,Rp1.000.000,1000000,Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart Bojong Koneng (944 m), Christian Church Pasundan Awiligar (2.1 km), Institut Teknologi Nasional Bandung (234 m), Sinar Abadi Balubur Town Square (3.0 km).","3 x 4 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Jendela, Bantal","K. Mandi Dalam, Kloset Jongkok, K. Mandi Luar, Ember mandi","WiFi, R. Cuci, Kulkas, Penjaga Kos, R. Jemur, Mushola, Dapur, Jemuran, CCTV, Balcon","Parkir Mobil, Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-sazara-cibeunying-kidul-bandung-2?redirection_source=landing%20area,-6.900499947069549,107.65026970389854
Kost P House Tipe Premium Andir Bandung,Campur,Rp1.250.000,1250000,Andir,Andir,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Abadi (1.6 km), Alfamart (2.0 km), Masjid Al Asy'ari Unisba (1.4 km), Bank BJB - Cabang Utama Bandung (835 m), Universitas Islam Bandung (1.4 km), RS Umum Bungsu (1.1 km).","3 x 4 meter, Termasuk listrik","Kasur, Lemari / Storage, Ventilasi, Jendela, Wastafel","K. Mandi Dalam, Kloset Duduk, Shower","WiFi, Laundry, Dapur, Jemuran, CCTV",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-p-house-tipe-premium-andir-bandung-2?redirection_source=landing%20area,-6.905916228634969,107.57126073901095
Kost Sitimunigar Reguler Ac Astanaanyar Bandung,Campur,Rp1.500.000,1500000,Kecamatan Astanaanyar,Astanaanyar,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Bahari (1.5 km), Alfamart (2.8 km), Church of Isa Almasih (1.1 km), Bank BJB - Cabang Utama Bandung (1.3 km), Universitas Islam Bandung (2.9 km), RS Umum Bungsu (1.6 km).","3 x 3 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Jendela, Kursi","K. Mandi Dalam, Kloset Duduk, Ember mandi, Shower","WiFi, Kulkas, Laundry, Penjaga Kos, R. Jemur, R. Makan, R. Santai, Dapur, Pengurus Kos, CCTV","Parkir Motor, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-sitimunigar-reguler-ac-astanaanyar-bandung-2?redirection_source=landing%20area,-6.937590911895319,107.60311863971383
Kost Ciguriang 25 Exclusive Regol Bandung,Campur,Rp2.500.000,2500000,Kecamatan Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (1.4 km), Alfamart (3.0 km), Church of Isa Almasih (1.0 km), Bank BJB - Cabang Utama Bandung (817 m), Universitas Islam Bandung (2.4 km), RS Umum Bungsu (1.2 km).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal, Wastafel, Kursi","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, R. Cuci, Kulkas, Mesin Cuci, Laundry, Penjaga Kos, R. Jemur, R. Santai, Dispenser, Dapur","Parkir Mobil, Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-ciguriang-25-exclusive-regol-bandung?redirection_source=landing%20area,-6.93776692868837,107.61245227486258
Kost Gatsu Bapak Agus Tipe A Gatot Subroto Batununggal Bandung,Putri,Rp1.100.000,1100000,Batununggal,Batununggal,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Cintaasih (646 m), Alfamart A Yani 419 (2.0 km), Church In Bandung (739 m), Universitas Padjadjaran Kampus Dipatiukur (3.5 km), Bandung Electronic Center (2.6 km).","3 x 4 meter, Tidak termasuk listrik","Kasur, Meja, Meja Rias, Lemari / Storage, Cermin, Bantal, Kipas Angin","K. Mandi Dalam, Kloset Jongkok, Ember mandi, Shower","WiFi, Kulkas, R. Tamu, R. Jemur, R. Makan, Dapur","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-gatsu-bpk-agus-gatot-subroto-batununggal-bandung?redirection_source=landing%20area,-6.928517437885081,107.63934742718496
Kost Rania Modern Tipe A1 Regol Bandung,Putri,Rp950.000,950000,Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (876 m), Alfamart (3.2 km), Church of Isa Almasih (449 m), Bank BJB - Cabang Utama Bandung (723 m), Universitas Islam Bandung (2.5 km), RS Umum Bungsu (984 m).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal, Kursi, Kipas Angin","K. Mandi Dalam, Kloset Duduk, Shower","WiFi, R. Jemur, Dispenser, Dapur, Jemuran, Pengurus Kos, K. Mandi Luar","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-rania-modern-tipe-a1-regol-bandung-2?redirection_source=landing%20area,-6.939350130788785,107.61199263580922
Kost Jl Macan 9 Lengkong Bandung,Campur,Rp1.400.000,1400000,Kecamatan Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Rumah Makan Cikawao (649 m), Alfamart A Yani 419 (3.1 km), Church of Isa Almasih (698 m), Citibank Indonesia (939 m), Universitas Islam Bandung (3.2 km), RS Ibu dan Anak Kota Bandung (2.0 km).","3 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal, Kipas Angin, Cleaning service","Kloset Duduk, K. Mandi Luar, Shower","WiFi, R. Cuci, Kulkas, Mesin Cuci, Laundry, R. Tamu, Penjaga Kos, R. Jemur, R. Makan, R. Santai","Parkir Mobil, Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-jl-macan-9-lengkong-bandung?redirection_source=landing%20area,-6.935546001049421,107.6246859557785
