Nama Kost,Tipe,Harga,Harga_Int,Lokasi,Lokasi Clean,Deskripsi,Spesifikasi Kamar,Fasilitas Kamar,Fasilitas Kamar Mandi,Fasilitas Umum,Fasilitas Parkir,Fasilitas Lain,Link,lat,lon
Kost Syauqiyyah Tipe A Regol Bandung,Putri,Rp1.450.000,1450000,Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (505 m), Circle K (1.6 km), Masjid Jami Nurul Falah (623 m), CIMB Niaga (Buah Batu) (1.1 km), Akademi Sekretari Dan Manajemen BSI Bandung (904 m), RS Ibu dan Anak Kota Bandung (1.7 km).","3 x 4 meter, Termasuk listrik","Kasur, Meja, Ventilasi, Jendela, Guling, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk, Kloset Jongkok, Shower, Air panas","WiFi, R. Cuci, Kulkas, Mesin Cuci, R. Tamu, Penjaga Kos, R. Jemur, R. Makan, R. Santai, Dispenser","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-syauqiyyah-tipe-a-regol-bandung?redirection_source=landing%20area,-6.941173766301282,107.61330355625616
Kost Pusat Laundry Nasional Astanaanyar Bandung,Campur,Rp650.000,650000,Kecamatan Astanaanyar,Astanaanyar,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Jaya Bahari (377 m), Circle K (778 m), Gereja Kristen Kalam Kudus Pasundan (602 m), Institut Seni Budaya Indonesia Bandung (3.3 km), Bandung Electronic Center (2.2 km).","3 x 3 meter, Termasuk listrik","Kasur, Lemari / Storage, Kipas Angin","Kloset Duduk, K. Mandi Luar, Shower, Air panas","WiFi, Laundry, Penjaga Kos, R. Makan, R. Santai, Dapur, Pengurus Kos, CCTV, Balcon, R. Keluarga",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-pusat-laundry-nasional-astanaanyar-bandung-1?redirection_source=landing%20area,-6.940586019990519,107.60391134798232
Kost Deme 25 Tipe A Batununggal Bandung,Campur,Rp1.150.000,1150000,Kecamatan Batununggal,Batununggal,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (1.6 km), Indomaret Surapati 55 (3.3 km), Gereja Isa Almasih (451 m), Bank BCA KCP Buah Batu (1.9 km), Institut Teknologi Nasional Bandung (3.1 km), RS Ibu dan Anak Al Islam (1.9 km).","3 x 3 meter, Tidak termasuk listrik","AC, Kasur, Lemari / Storage, Ventilasi, Jendela, Cermin","K. Mandi Dalam, Kloset Duduk, Kloset Jongkok, Ember mandi, Shower, Air panas","WiFi, Penjaga Kos, R. Jemur, Dapur, Jemuran, Pengurus Kos, CCTV, Rooftop, Balcon","Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-deme-25-tipe-a-batununggal-bandung?redirection_source=landing%20area,-6.92879147811164,107.64010152030116
Kost Neo Lengkong Bandung,Campur,Rp1.100.000,1100000,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Rumah Makan Cikawao (402 m), Alfamart A Yani 419 (3.2 km), Church of Isa Almasih (555 m), Citibank Indonesia (341 m), Universitas Padjadjaran Kampus Dipatiukur (3.4 km), RS Umum Bungsu (580 m).","3 x 4 meter, Tidak termasuk listrik","Kasur, Lemari / Storage, Ventilasi, Jendela, Cermin","K. Mandi Dalam, Kloset Duduk, Ember mandi, Shower","WiFi, R. Jemur, Dapur, Jemuran, Pengurus Kos, Balcon",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-neo-lengkong-bandung-2?redirection_source=landing%20area,-6.934417161654739,107.6250565081962
Kost Kukka Tipe A Lengkong Bandung,Putri,Rp1.500.000,1500000,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (459 m), Alfamart (3.2 km), Church In Bandung (611 m), Bank BJB - Cabang Utama Bandung (1.3 km), Universitas Islam Bandung (2.9 km), RS Umum Bungsu (1.1 km).","2.5 x 4.5 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Wastafel, Kursi, Cleaning service","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, Dapur, CCTV",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-kukka-tipe-a-lengkong-bandung-2?redirection_source=landing%20area,-6.932905518693763,107.6272828616874
Kost Pungkur Vip Regol Bandung,Putri,Rp650.000,650000,Kecamatan Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Abadi (3.0 km), Circle K (1.3 km), Church of Isa Almasih (176 m), Citibank Indonesia (1.0 km), Universitas Islam Bandung (3.0 km), RS Umum Muhammadiyah (1.3 km).","3 x 3 meter, Termasuk listrik","Kasur, Lemari / Storage, Jendela, Guling, Bantal","K. Mandi Dalam, Kloset Duduk, K. Mandi Luar, Shower","R. Jemur, Dapur, Jemuran, Rice Cooker",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-pungkur-vip-regol-bandung?redirection_source=landing%20area,-6.939598183666471,107.61354976869528
Kost Naumanda Cikaso Cibeunying Kidul Bandung,Putri,Rp1.333.333,1333333,Kecamatan Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Abadi (2.8 km), Alfamart A Yani 419 (465 m), Masjid Al Barokah (1.8 km), Bank BJB - Cabang Utama Bandung (2.9 km), Institut Teknologi Nasional Bandung (1.4 km), RS Ibu dan Anak Al Islam (477 m).","3 x 4 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk, Shower, Air panas","WiFi, R. Cuci, Kulkas, Mesin Cuci, R. Tamu, Penjaga Kos, R. Jemur, R. Santai, Dapur, Jemuran",Parkir Motor & Sepeda,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-naumanda-cikaso-cibeunying-kidul-bandung?redirection_source=landing%20area,-6.899827993611743,107.6518575411438
Kost Melkid 47abc Lengkong Bandung,Putri,Rp900.000,900000,Kecamatan Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (127 m), Circle K (98 m), Church of Isa Almasih (318 m), Bank BJB - Cabang Utama Bandung (1.3 km), Universitas Islam Bandung (3.1 km), RS Mata Bandung Eye Center (1.3 km).","4 x 4 meter, Tidak termasuk listrik","Kasur, Lemari / Storage, Ventilasi, Jendela","K. Mandi Dalam, Kloset Duduk, K. Mandi Luar, Shower","R. Cuci, R. Tamu, R. Santai, Dapur, Pengurus Kos, CCTV, K. Mandi Luar","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-melkid-47abc-lengkong-bandung-2?redirection_source=landing%20area,-6.9353251921637415,107.62610428344738
Kost Yukiyama Sawah Kurung Regol Bandung,Putri,Rp1.800.000,1800000,Kecamatan Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses jalan raya, berlokasi dekat dengan Rumah Makan Cikawao (671 m), Circle K (1.5 km), Church of Isa Almasih (503 m), Citibank Indonesia (1.3 km), Universitas Islam Bandung (3.3 km), RS Ibu dan Anak Kota Bandung (1.3 km).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Meja, TV, Lemari / Storage, Cermin, Bantal","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, R. Jemur, Dapur, CCTV",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-yukiyama-sawah-kurung-regol-bandung-?redirection_source=landing%20area,-6.937690302463485,107.61526582708431
Kost Komura Cibeunying Kaler Bandung,Campur,Rp550.000,550000,Kecamatan Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Abadi (2.0 km), Alfamart (996 m), Masjid Al Asy'ari Unisba (2.3 km), Bank BJB Weekend Banking (1.1 km), Institut Teknologi Nasional Bandung (864 m), RS Ibu dan Anak Al Islam (1.5 km).","2.5 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela","Kloset Jongkok, K. Mandi Luar, Ember mandi","WiFi, R. Cuci, R. Tamu, Penjaga Kos, R. Jemur, R. Makan, R. Santai, Dapur, Jemuran, Pengurus Kos","Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-komura-cibeunying-kaler-bandung?redirection_source=landing%20area,-6.885522440052941,107.62784438444842
Kost Cibo 33 Batununggal Bandung,Putri,Rp955.000,955000,Batununggal,Batununggal,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Cintaasih (472 m), Alfamart A Yani 419 (1.7 km), Masjid Al Jihad (763 m), Sekolah Tinggi Ilmu Ekonomi Pasundan (973 m), Bandung Electronic Center (3.2 km).","3 x 3.5 meter, Termasuk listrik","Kasur, Dispenser, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal","K. Mandi Dalam, Kloset Jongkok, Ember mandi, Shower","Kulkas, R. Tamu, R. Jemur, R. Santai, Dispenser, Dapur, Jemuran, CCTV, TV","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-bandung-kost-putri-murah-kost-cibo-33-batununggal-bandung-1?redirection_source=landing%20area,-6.927701815855811,107.63860941999502
Kost Rumah Ene Kos Putri Regol Bandung,Putri,Rp1.950.000,1950000,Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (782 m), Circle K (764 m), Church of Isa Almasih (628 m), Institut Seni Budaya Indonesia Bandung (2.3 km), RSU Bhayangkara Tk II Sartika Asih (2.6 km), Bandung Electronic Center (2.8 km).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk, Shower, Air panas","WiFi, Laundry, R. Tamu, Penjaga Kos, R. Jemur, Mushola, Jemuran, Pengurus Kos, Jual Makanan, CCTV","Parkir Mobil, Parkir Motor",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-rumah-ene-kos-putri-regol-bandung-1?redirection_source=landing%20area,-6.941470767344098,107.61308177618947
Kost M Dian Ediana Regol Bandung,Putri,Rp850.000,850000,Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Bahari (474 m), Circle K (501 m), Masjid Jami Nurul Falah (556 m), CIMB Niaga (Buah Batu) (776 m), Akademi Sekretari Dan Manajemen BSI Bandung (659 m), RS Umum Muhammadiyah (691 m).","2.5 x 2.8 meter, Termasuk listrik","Kasur, Dispenser, Meja, Meja Rias, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal","Kloset Duduk, K. Mandi Luar, Ember mandi, Bak mandi","WiFi, R. Cuci, R. Tamu, R. Jemur, R. Santai, Dispenser, Jemuran, Balcon, K. Mandi Luar",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-m-dian-ediana-regol-bandung-2?redirection_source=landing%20area,-6.940898420263867,107.61280971375314
Kost Turangga Executive Lengkong Bandung,Putri,Rp800.000,800000,Kecamatan Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (709 m), Circle K (3.1 km), Church of Isa Almasih (1.1 km), Bank BCA KCP Buah Batu (804 m), Akademi Sekretari Dan Manajemen BSI Bandung (393 m), RS Umum Bungsu (1.9 km).","3 x 3 meter, Tidak termasuk listrik","Ventilasi, Jendela","K. Mandi Dalam, Kloset Jongkok","Dapur, Jemuran, Pengurus Kos","Parkir Motor, Parkir Sepeda, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-turangga-executive-lengkong-bandung?redirection_source=landing%20area,-6.933740403294801,107.6253538328249
Kost Kukka Tipe AC Lengkong Bandung,Putri,Rp1.750.000,1750000,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (459 m), Alfamart (3.2 km), Church In Bandung (611 m), Bank BJB - Cabang Utama Bandung (1.3 km), Universitas Islam Bandung (2.9 km), RS Umum Bungsu (1.1 km).","2.5 x 4.5 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Wastafel, Kursi, Cleaning service","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, Dapur, CCTV","Parkir Mobil, Parkir Motor",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-kukka-tipe-ac-lengkong-bandung-2?redirection_source=landing%20area,-6.932497999891953,107.62687127849658
Kost 78D Tipe B Regol Bandung,Putri,Rp1.250.000,1250000,Regol,Regol,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Rumah Makan Cikawao (892 m), Circle K (829 m), Gereja Kristen Kalam Kudus Pasundan (348 m), Citibank Indonesia (1.4 km), Sekolah Tinggi Ilmu Kesehatan Immanuel Bandung (1.4 km), RS Khusus Mata Cicendo (2.0 km).","4 x 5 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Guling, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk","WiFi, Penjaga Kos, R. Jemur, R. Santai, Dapur, Jemuran, CCTV, Balcon","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-78d-tipe-b-regol-bandung?redirection_source=landing%20area,-6.940004190602669,107.61292531768493
Kost Miru Minami Tipe A Lengkong Bandung,Putri,Rp1.500.000,1500000,Kecamatan Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (142 m), Alfamart A Yani 419 (3.4 km), Church of Isa Almasih (292 m), Bank BJB - Cabang Utama Bandung (1.2 km), Universitas Islam Bandung (3.0 km), RS Umum Bungsu (1.3 km).","3 x 4 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Kursi","Kloset Duduk, K. Mandi Luar, Shower","WiFi, R. Cuci, Kulkas, Penjaga Kos, R. Jemur, Dapur, Jemuran, CCTV, Rooftop, Kartu Akses",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-putri-eksklusif-kost-miru-minami-tipe-a-lengkong-bandung?redirection_source=landing%20area,-6.935693068133672,107.62580685240164
Kost Kencana Big Room Bandung Wetan Bandung,Campur,Rp2.100.000,2100000,Bandung Wetan,Bandung Wetan,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Swike Waled Rumah Makan (256 m), Circle K (2.9 km), Masjid Jami Mathla'ul Khoeriyah (196 m), Bank BJB - Kantor Cabang Tamansari (397 m), Universitas Islam Bandung (340 m), RS Ibu dan Anak Melinda (384 m).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Wastafel, Kursi","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, Laundry, R. Tamu, R. Santai",Parkir Motor,,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-kencana-big-room-bandung-wetan-bandung-2?redirection_source=landing%20area,-6.903745032801655,107.6154345248102
Kost Nomad Coliving Asia Afrika Loft Lengkong Bandung,Campur,Rp2.699.998,2699998,Lengkong,Lengkong,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Warteg Bahari (527 m), Alfamart (3.1 km), Church In Bandung (501 m), Bank BJB - Cabang Utama Bandung (1.1 km), Universitas Islam Bandung (2.7 km), RS Umum Bungsu (1.0 km).","3 x 4 meter, Tidak termasuk listrik","AC, Kasur, Meja, Lemari / Storage, Jendela, Cermin, Bantal, Wastafel, Kursi","K. Mandi Dalam, Kloset Duduk, Wastafel, Shower, Air panas","WiFi, Kulkas, Penjaga Kos, R. Makan, Dapur, Pengurus Kos, CCTV, Rooftop, TV",,,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-nomad-coliving-asia-afrika-loft-lengkong-bandung?redirection_source=landing%20area,-6.934523767942547,107.624986888421
